=== preflight ===
NVIDIA GeForce RTX 3090, 24576 MiB
torch 1.13.1+cu117 | cuda True
  found: /home/asm242/entexBERT-2/DNABERT-2-117M-attention
  found: /home/asm242/reference_genome/hg38.fa
  found: /home/asm242/palmer_scratch/entex_data/hetSNVs.tsv
  found: /home/asm242/palmer_scratch/entexBERT-2_experiments/ADASTRA/ctcf_adastra_evalset.csv
  found: /home/asm242/palmer_scratch/entexBERT-2_experiments/EN-TEx/experiments/stage2_ctcf_asb/inputs/train.meta.csv
  found: /home/asm242/palmer_scratch/entexBERT-2_experiments/EN-TEx/experiments/stage2_ctcf_asb/inputs/dev.meta.csv

=== STEP A: select best 2a checkpoint ===
[STEP A] BEST 2a: s=20  dev_spearman=0.06330
[STEP A] ckpt = /home/asm242/palmer_scratch/entexBERT-2_experiments/EN-TEx/experiments/stage2_ctcf_asb/runs/asb_2a_s20
[STEP A] OK

=== STEP 2b: gentle unfreeze from best 2a (s=20) ===
{'loss': 0.2603, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.0}
{'loss': 0.661, 'learning_rate': 2.83080315494869e-06, 'epoch': 0.12}
{'loss': 0.567, 'learning_rate': 2.8282588414892714e-06, 'epoch': 0.12}
{'loss': 0.4269, 'learning_rate': 2.8257145280298533e-06, 'epoch': 0.12}
{'loss': 0.1672, 'learning_rate': 2.8231702145704353e-06, 'epoch': 0.12}
{'loss': 0.3497, 'learning_rate': 2.8206259011110168e-06, 'epoch': 0.12}
{'loss': 0.3161, 'learning_rate': 2.8180815876515987e-06, 'epoch': 0.13}
{'loss': 0.3038, 'learning_rate': 2.8155372741921806e-06, 'epoch': 0.13}
{'eval_loss': 0.36951231956481934, 'eval_mse': 0.3740218388384856, 'eval_pearson': 0.16808059410347545, 'eval_spearman': 0.04738377186806998, 'eval_auroc': 0.5168346413797587, 'eval_runtime': 19.9445, 'eval_samples_per_second': 1118.555, 'eval_steps_per_second': 17.499, 'epoch': 0.13}
{'loss': 0.7671, 'learning_rate': 2.812992960732762e-06, 'epoch': 0.13}
{'loss': 0.6705, 'learning_rate': 2.810448647273344e-06, 'epoch': 0.13}
{'loss': 0.2362, 'learning_rate': 2.807904333813926e-06, 'epoch': 0.13}
{'loss': 0.3956, 'learning_rate': 2.8053600203545075e-06, 'epoch': 0.13}
{'loss': 0.5735, 'learning_rate': 2.80281570689509e-06, 'epoch': 0.14}
{'loss': 0.4432, 'learning_rate': 2.8002713934356714e-06, 'epoch': 0.14}
{'loss': 0.2457, 'learning_rate': 2.797727079976253e-06, 'epoch': 0.14}
{'loss': 0.5241, 'learning_rate': 2.795182766516835e-06, 'epoch': 0.14}
{'loss': 0.4251, 'learning_rate': 2.7926384530574168e-06, 'epoch': 0.14}
{'loss': 0.3286, 'learning_rate': 2.7900941395979987e-06, 'epoch': 0.14}
{'loss': 0.4327, 'learning_rate': 2.78754982613858e-06, 'epoch': 0.15}
{'loss': 0.2717, 'learning_rate': 2.785005512679162e-06, 'epoch': 0.15}
{'loss': 0.3673, 'learning_rate': 2.782461199219744e-06, 'epoch': 0.15}
{'loss': 0.4294, 'learning_rate': 2.7799168857603256e-06, 'epoch': 0.15}
{'loss': 0.1414, 'learning_rate': 2.7773725723009075e-06, 'epoch': 0.15}
{'loss': 0.3428, 'learning_rate': 2.7748282588414894e-06, 'epoch': 0.15}
{'loss': 0.3914, 'learning_rate': 2.772283945382071e-06, 'epoch': 0.16}
{'loss': 0.6495, 'learning_rate': 2.769739631922653e-06, 'epoch': 0.16}
{'loss': 0.3542, 'learning_rate': 2.767195318463235e-06, 'epoch': 0.16}
{'loss': 0.3541, 'learning_rate': 2.7646510050038163e-06, 'epoch': 0.16}
{'loss': 0.3477, 'learning_rate': 2.7621066915443983e-06, 'epoch': 0.16}
{'loss': 0.588, 'learning_rate': 2.75956237808498e-06, 'epoch': 0.16}
{'loss': 0.8639, 'learning_rate': 2.757018064625562e-06, 'epoch': 0.17}
{'loss': 0.3737, 'learning_rate': 2.7544737511661436e-06, 'epoch': 0.17}
{'loss': 0.3348, 'learning_rate': 2.7519294377067256e-06, 'epoch': 0.17}
{'eval_loss': 0.36595818400382996, 'eval_mse': 0.3708268123926399, 'eval_pearson': 0.19490722163758492, 'eval_spearman': 0.04553637084116165, 'eval_auroc': 0.5185140151445985, 'eval_runtime': 19.9518, 'eval_samples_per_second': 1118.146, 'eval_steps_per_second': 17.492, 'epoch': 0.17}
{'loss': 0.5689, 'learning_rate': 2.7493851242473075e-06, 'epoch': 0.17}
{'loss': 0.5007, 'learning_rate': 2.746840810787889e-06, 'epoch': 0.17}
{'loss': 0.6069, 'learning_rate': 2.744296497328471e-06, 'epoch': 0.17}
{'loss': 0.4745, 'learning_rate': 2.741752183869053e-06, 'epoch': 0.18}
{'loss': 0.435, 'learning_rate': 2.7392078704096344e-06, 'epoch': 0.18}
{'loss': 0.3718, 'learning_rate': 2.7366635569502163e-06, 'epoch': 0.18}
{'loss': 0.3285, 'learning_rate': 2.7341192434907982e-06, 'epoch': 0.18}
{'loss': 0.7507, 'learning_rate': 2.7315749300313797e-06, 'epoch': 0.18}
{'loss': 0.395, 'learning_rate': 2.7290306165719617e-06, 'epoch': 0.18}
{'loss': 0.3676, 'learning_rate': 2.7264863031125436e-06, 'epoch': 0.19}
{'loss': 0.3358, 'learning_rate': 2.7239419896531255e-06, 'epoch': 0.19}
{'loss': 0.3697, 'learning_rate': 2.721397676193707e-06, 'epoch': 0.19}
{'loss': 0.2709, 'learning_rate': 2.718853362734289e-06, 'epoch': 0.19}
{'loss': 0.5716, 'learning_rate': 2.716309049274871e-06, 'epoch': 0.19}
{'loss': 0.873, 'learning_rate': 2.7137647358154524e-06, 'epoch': 0.19}
{'loss': 0.2861, 'learning_rate': 2.7112204223560344e-06, 'epoch': 0.2}
{'loss': 0.2548, 'learning_rate': 2.7086761088966163e-06, 'epoch': 0.2}
{'loss': 0.5445, 'learning_rate': 2.706131795437198e-06, 'epoch': 0.2}
{'loss': 0.3152, 'learning_rate': 2.7035874819777797e-06, 'epoch': 0.2}
{'loss': 0.477, 'learning_rate': 2.7010431685183617e-06, 'epoch': 0.2}
{'loss': 0.4145, 'learning_rate': 2.698498855058943e-06, 'epoch': 0.2}
{'loss': 0.3879, 'learning_rate': 2.695954541599525e-06, 'epoch': 0.21}
{'loss': 0.34, 'learning_rate': 2.693410228140107e-06, 'epoch': 0.21}
{'loss': 0.4892, 'learning_rate': 2.690865914680689e-06, 'epoch': 0.21}
{'loss': 0.3623, 'learning_rate': 2.6883216012212705e-06, 'epoch': 0.21}
{'eval_loss': 0.3666093349456787, 'eval_mse': 0.3713773551345818, 'eval_pearson': 0.19299650455344639, 'eval_spearman': 0.056911021200067954, 'eval_auroc': 0.5226656955280633, 'eval_runtime': 19.9864, 'eval_samples_per_second': 1116.21, 'eval_steps_per_second': 17.462, 'epoch': 0.21}
{'loss': 0.3511, 'learning_rate': 2.685777287761852e-06, 'epoch': 0.21}
{'loss': 0.5795, 'learning_rate': 2.6832329743024343e-06, 'epoch': 0.21}
{'loss': 0.7132, 'learning_rate': 2.680688660843016e-06, 'epoch': 0.22}
{'loss': 0.3337, 'learning_rate': 2.6781443473835978e-06, 'epoch': 0.22}
{'loss': 0.6283, 'learning_rate': 2.6756000339241797e-06, 'epoch': 0.22}
{'loss': 0.3948, 'learning_rate': 2.6730557204647612e-06, 'epoch': 0.22}
{'loss': 0.3193, 'learning_rate': 2.670511407005343e-06, 'epoch': 0.22}
{'loss': 0.5256, 'learning_rate': 2.667967093545925e-06, 'epoch': 0.23}
{'loss': 0.3094, 'learning_rate': 2.6654227800865066e-06, 'epoch': 0.23}
{'loss': 0.4109, 'learning_rate': 2.6628784666270885e-06, 'epoch': 0.23}
{'loss': 0.5411, 'learning_rate': 2.6603341531676705e-06, 'epoch': 0.23}
{'loss': 0.4597, 'learning_rate': 2.657789839708252e-06, 'epoch': 0.23}
{'loss': 0.4889, 'learning_rate': 2.655245526248834e-06, 'epoch': 0.23}
{'loss': 0.4354, 'learning_rate': 2.6527012127894154e-06, 'epoch': 0.24}
{'loss': 0.7691, 'learning_rate': 2.6501568993299978e-06, 'epoch': 0.24}
{'loss': 0.3454, 'learning_rate': 2.6476125858705793e-06, 'epoch': 0.24}
{'loss': 0.4357, 'learning_rate': 2.6450682724111612e-06, 'epoch': 0.24}
{'loss': 0.3951, 'learning_rate': 2.642523958951743e-06, 'epoch': 0.24}
{'loss': 0.4591, 'learning_rate': 2.6399796454923247e-06, 'epoch': 0.24}
{'loss': 0.4805, 'learning_rate': 2.6374353320329066e-06, 'epoch': 0.25}
{'loss': 0.2222, 'learning_rate': 2.6348910185734885e-06, 'epoch': 0.25}
{'loss': 0.5368, 'learning_rate': 2.63234670511407e-06, 'epoch': 0.25}
{'loss': 0.4316, 'learning_rate': 2.629802391654652e-06, 'epoch': 0.25}
{'loss': 0.3904, 'learning_rate': 2.6272580781952335e-06, 'epoch': 0.25}
{'loss': 0.3345, 'learning_rate': 2.6247137647358154e-06, 'epoch': 0.25}
{'eval_loss': 0.3661055266857147, 'eval_mse': 0.3709783781464894, 'eval_pearson': 0.1935036831327606, 'eval_spearman': 0.05895136369778086, 'eval_auroc': 0.5228065337796084, 'eval_runtime': 19.9818, 'eval_samples_per_second': 1116.464, 'eval_steps_per_second': 17.466, 'epoch': 0.25}
{'loss': 0.7278, 'learning_rate': 2.6221694512763973e-06, 'epoch': 0.26}
{'loss': 0.5704, 'learning_rate': 2.619625137816979e-06, 'epoch': 0.26}
{'loss': 0.9157, 'learning_rate': 2.617080824357561e-06, 'epoch': 0.26}
{'loss': 0.5302, 'learning_rate': 2.6145365108981427e-06, 'epoch': 0.26}
{'loss': 0.6113, 'learning_rate': 2.6119921974387242e-06, 'epoch': 0.26}
{'loss': 0.4795, 'learning_rate': 2.6094478839793066e-06, 'epoch': 0.26}
{'loss': 0.364, 'learning_rate': 2.606903570519888e-06, 'epoch': 0.27}
{'loss': 0.3072, 'learning_rate': 2.60435925706047e-06, 'epoch': 0.27}
{'loss': 0.9749, 'learning_rate': 2.601814943601052e-06, 'epoch': 0.27}
{'loss': 0.2105, 'learning_rate': 2.5992706301416335e-06, 'epoch': 0.27}
{'loss': 0.5593, 'learning_rate': 2.5967263166822154e-06, 'epoch': 0.27}
{'loss': 0.5339, 'learning_rate': 2.594182003222797e-06, 'epoch': 0.27}
{'loss': 0.3906, 'learning_rate': 2.591637689763379e-06, 'epoch': 0.28}
{'loss': 0.3201, 'learning_rate': 2.5890933763039608e-06, 'epoch': 0.28}
{'loss': 0.6233, 'learning_rate': 2.5865490628445423e-06, 'epoch': 0.28}
{'loss': 0.7008, 'learning_rate': 2.5840047493851246e-06, 'epoch': 0.28}
{'loss': 0.2925, 'learning_rate': 2.581460435925706e-06, 'epoch': 0.28}
{'loss': 0.6034, 'learning_rate': 2.5789161224662876e-06, 'epoch': 0.28}
{'loss': 0.6429, 'learning_rate': 2.57637180900687e-06, 'epoch': 0.29}
{'loss': 0.3555, 'learning_rate': 2.5738274955474515e-06, 'epoch': 0.29}
{'loss': 0.3021, 'learning_rate': 2.5712831820880334e-06, 'epoch': 0.29}
{'loss': 0.4346, 'learning_rate': 2.568738868628615e-06, 'epoch': 0.29}
{'loss': 0.2969, 'learning_rate': 2.566194555169197e-06, 'epoch': 0.29}
{'loss': 0.3651, 'learning_rate': 2.563650241709779e-06, 'epoch': 0.29}
{'loss': 0.1847, 'learning_rate': 2.5611059282503603e-06, 'epoch': 0.3}
{'eval_loss': 0.3650330901145935, 'eval_mse': 0.3699431426554417, 'eval_pearson': 0.1876890523092178, 'eval_spearman': 0.060522877091831385, 'eval_auroc': 0.5240443067993235, 'eval_runtime': 19.9795, 'eval_samples_per_second': 1116.594, 'eval_steps_per_second': 17.468, 'epoch': 0.3}
{'loss': 0.35, 'learning_rate': 2.5585616147909423e-06, 'epoch': 0.3}
{'loss': 0.5317, 'learning_rate': 2.556017301331524e-06, 'epoch': 0.3}
{'loss': 0.5482, 'learning_rate': 2.5534729878721057e-06, 'epoch': 0.3}
{'loss': 0.3406, 'learning_rate': 2.550928674412688e-06, 'epoch': 0.3}
{'loss': 0.6642, 'learning_rate': 2.5483843609532696e-06, 'epoch': 0.3}
{'loss': 0.5237, 'learning_rate': 2.545840047493851e-06, 'epoch': 0.31}
{'loss': 0.6135, 'learning_rate': 2.5432957340344334e-06, 'epoch': 0.31}
{'loss': 0.6004, 'learning_rate': 2.540751420575015e-06, 'epoch': 0.31}
{'loss': 0.4261, 'learning_rate': 2.538207107115597e-06, 'epoch': 0.31}
{'loss': 0.2583, 'learning_rate': 2.5356627936561784e-06, 'epoch': 0.31}
{'loss': 0.4373, 'learning_rate': 2.5331184801967603e-06, 'epoch': 0.31}
{'loss': 0.3002, 'learning_rate': 2.5305741667373422e-06, 'epoch': 0.32}
{'loss': 0.5351, 'learning_rate': 2.5280298532779237e-06, 'epoch': 0.32}
{'loss': 0.5125, 'learning_rate': 2.5254855398185057e-06, 'epoch': 0.32}
{'loss': 0.3916, 'learning_rate': 2.5229412263590876e-06, 'epoch': 0.32}
{'loss': 0.1931, 'learning_rate': 2.520396912899669e-06, 'epoch': 0.32}
{'loss': 0.5036, 'learning_rate': 2.517852599440251e-06, 'epoch': 0.32}
{'loss': 0.2556, 'learning_rate': 2.515308285980833e-06, 'epoch': 0.33}
{'loss': 0.3955, 'learning_rate': 2.5127639725214145e-06, 'epoch': 0.33}
{'loss': 0.4923, 'learning_rate': 2.5102196590619964e-06, 'epoch': 0.33}
{'loss': 0.5005, 'learning_rate': 2.5076753456025784e-06, 'epoch': 0.33}
{'loss': 0.3178, 'learning_rate': 2.5051310321431603e-06, 'epoch': 0.33}
{'loss': 0.278, 'learning_rate': 2.502586718683742e-06, 'epoch': 0.34}
{'loss': 0.5738, 'learning_rate': 2.5000424052243237e-06, 'epoch': 0.34}
{'loss': 0.4726, 'learning_rate': 2.4974980917649057e-06, 'epoch': 0.34}
{'eval_loss': 0.3635636270046234, 'eval_mse': 0.3686646207710406, 'eval_pearson': 0.20976830271243202, 'eval_spearman': 0.05809253836475885, 'eval_auroc': 0.5231157735634543, 'eval_runtime': 19.9799, 'eval_samples_per_second': 1116.569, 'eval_steps_per_second': 17.468, 'epoch': 0.34}
{'loss': 0.6366, 'learning_rate': 2.494953778305487e-06, 'epoch': 0.34}
{'loss': 0.4282, 'learning_rate': 2.492409464846069e-06, 'epoch': 0.34}
{'loss': 0.7034, 'learning_rate': 2.489865151386651e-06, 'epoch': 0.34}
{'loss': 0.3987, 'learning_rate': 2.4873208379272325e-06, 'epoch': 0.35}
{'loss': 0.4484, 'learning_rate': 2.4847765244678145e-06, 'epoch': 0.35}
{'loss': 0.6887, 'learning_rate': 2.4822322110083964e-06, 'epoch': 0.35}
{'loss': 0.4126, 'learning_rate': 2.479687897548978e-06, 'epoch': 0.35}
{'loss': 0.3555, 'learning_rate': 2.47714358408956e-06, 'epoch': 0.35}
{'loss': 0.3545, 'learning_rate': 2.4745992706301418e-06, 'epoch': 0.35}
{'loss': 0.3072, 'learning_rate': 2.4720549571707233e-06, 'epoch': 0.36}
{'loss': 0.2978, 'learning_rate': 2.4695106437113052e-06, 'epoch': 0.36}
{'loss': 0.7306, 'learning_rate': 2.466966330251887e-06, 'epoch': 0.36}
{'loss': 0.5128, 'learning_rate': 2.464422016792469e-06, 'epoch': 0.36}
{'loss': 0.6017, 'learning_rate': 2.4618777033330506e-06, 'epoch': 0.36}
{'loss': 0.46, 'learning_rate': 2.4593333898736325e-06, 'epoch': 0.36}
{'loss': 0.3165, 'learning_rate': 2.4567890764142145e-06, 'epoch': 0.37}
{'loss': 0.4289, 'learning_rate': 2.454244762954796e-06, 'epoch': 0.37}
{'loss': 0.3528, 'learning_rate': 2.451700449495378e-06, 'epoch': 0.37}
{'loss': 0.3429, 'learning_rate': 2.44915613603596e-06, 'epoch': 0.37}
{'loss': 0.3959, 'learning_rate': 2.4466118225765413e-06, 'epoch': 0.37}
{'loss': 0.3139, 'learning_rate': 2.4440675091171233e-06, 'epoch': 0.37}
{'loss': 0.7064, 'learning_rate': 2.4415231956577052e-06, 'epoch': 0.38}
{'loss': 0.4351, 'learning_rate': 2.4389788821982867e-06, 'epoch': 0.38}
{'loss': 0.4329, 'learning_rate': 2.4364345687388687e-06, 'epoch': 0.38}
{'loss': 0.5961, 'learning_rate': 2.4338902552794506e-06, 'epoch': 0.38}
{'eval_loss': 0.36235949397087097, 'eval_mse': 0.3675115737759404, 'eval_pearson': 0.20795185888899972, 'eval_spearman': 0.06116478345838573, 'eval_auroc': 0.5254289939991583, 'eval_runtime': 19.9878, 'eval_samples_per_second': 1116.129, 'eval_steps_per_second': 17.461, 'epoch': 0.38}
{'loss': 0.6009, 'learning_rate': 2.4313459418200325e-06, 'epoch': 0.38}
{'loss': 0.4375, 'learning_rate': 2.428801628360614e-06, 'epoch': 0.38}
{'loss': 0.7458, 'learning_rate': 2.4262573149011955e-06, 'epoch': 0.39}
{'loss': 0.2734, 'learning_rate': 2.423713001441778e-06, 'epoch': 0.39}
{'loss': 0.2859, 'learning_rate': 2.4211686879823594e-06, 'epoch': 0.39}
{'loss': 0.6276, 'learning_rate': 2.4186243745229413e-06, 'epoch': 0.39}
{'loss': 0.3365, 'learning_rate': 2.4160800610635233e-06, 'epoch': 0.39}
{'loss': 0.5606, 'learning_rate': 2.4135357476041048e-06, 'epoch': 0.39}
{'loss': 0.4291, 'learning_rate': 2.4109914341446867e-06, 'epoch': 0.4}
{'loss': 0.6396, 'learning_rate': 2.4084471206852686e-06, 'epoch': 0.4}
{'loss': 0.5282, 'learning_rate': 2.40590280722585e-06, 'epoch': 0.4}
{'loss': 0.4351, 'learning_rate': 2.403358493766432e-06, 'epoch': 0.4}
{'loss': 0.4657, 'learning_rate': 2.400814180307014e-06, 'epoch': 0.4}
{'loss': 0.7576, 'learning_rate': 2.398269866847596e-06, 'epoch': 0.4}
{'loss': 0.3685, 'learning_rate': 2.3957255533881775e-06, 'epoch': 0.41}
{'loss': 0.4906, 'learning_rate': 2.393181239928759e-06, 'epoch': 0.41}
{'loss': 0.6289, 'learning_rate': 2.3906369264693413e-06, 'epoch': 0.41}
{'loss': 0.2536, 'learning_rate': 2.388092613009923e-06, 'epoch': 0.41}
{'loss': 0.4565, 'learning_rate': 2.3855482995505048e-06, 'epoch': 0.41}
{'loss': 0.4601, 'learning_rate': 2.3830039860910867e-06, 'epoch': 0.41}
{'loss': 0.2616, 'learning_rate': 2.380459672631668e-06, 'epoch': 0.42}
{'loss': 0.7081, 'learning_rate': 2.37791535917225e-06, 'epoch': 0.42}
{'loss': 0.4195, 'learning_rate': 2.375371045712832e-06, 'epoch': 0.42}
{'loss': 0.3528, 'learning_rate': 2.3728267322534136e-06, 'epoch': 0.42}
{'loss': 0.5372, 'learning_rate': 2.3702824187939955e-06, 'epoch': 0.42}
{'eval_loss': 0.3610799312591553, 'eval_mse': 0.36639438120338574, 'eval_pearson': 0.2085804676224084, 'eval_spearman': 0.06302217592497389, 'eval_auroc': 0.5258035701608343, 'eval_runtime': 20.011, 'eval_samples_per_second': 1114.836, 'eval_steps_per_second': 17.44, 'epoch': 0.42}
{'loss': 0.4181, 'learning_rate': 2.367738105334577e-06, 'epoch': 0.42}
{'loss': 0.3243, 'learning_rate': 2.3651937918751594e-06, 'epoch': 0.43}
{'loss': 0.4236, 'learning_rate': 2.362649478415741e-06, 'epoch': 0.43}
{'loss': 0.9172, 'learning_rate': 2.3601051649563224e-06, 'epoch': 0.43}
{'loss': 0.5719, 'learning_rate': 2.3575608514969047e-06, 'epoch': 0.43}
{'loss': 0.4051, 'learning_rate': 2.3550165380374863e-06, 'epoch': 0.43}
{'loss': 0.4929, 'learning_rate': 2.352472224578068e-06, 'epoch': 0.44}
{'loss': 0.5167, 'learning_rate': 2.34992791111865e-06, 'epoch': 0.44}
{'loss': 0.4952, 'learning_rate': 2.3473835976592316e-06, 'epoch': 0.44}
{'loss': 0.409, 'learning_rate': 2.3448392841998136e-06, 'epoch': 0.44}
{'loss': 0.5215, 'learning_rate': 2.342294970740395e-06, 'epoch': 0.44}
{'loss': 0.5968, 'learning_rate': 2.339750657280977e-06, 'epoch': 0.44}
